"area","year","est","lwr","upr","log_est","se","type"
"Coastwide",2003,2425.62941553211,968.730501464474,6073.59637443024,7.79384632249033,0.468304457013413,"index"
"Coastwide",2004,844.585359620423,278.756740491829,2558.94952863415,6.73884580825112,0.565574833709346,"index"
"Coastwide",2005,1123.91332181424,484.130448045335,2609.17519245399,7.02457191165643,0.429710712616391,"index"
"Coastwide",2006,1250.62001153433,600.659472106537,2603.88870213758,7.1313947165519,0.374173479989038,"index"
"Coastwide",2007,1654.16306848761,753.457552697513,3631.5986844276,7.41105046110337,0.401220524632109,"index"
"Coastwide",2008,673.307579011406,271.247495464252,1671.3263847037,6.51220225200267,0.463871064812191,"index"
"Coastwide",2009,2290.72344518843,1167.2144700506,4495.67242094632,7.73662296158712,0.344010182095467,"index"
"Coastwide",2010,2592.15159761454,1194.46370154372,5625.32783234154,7.86024354249589,0.395308776230104,"index"
"Coastwide",2011,3022.0156022124,1538.40445416443,5936.39616376141,8.01367930569573,0.34448501167796,"index"
"Coastwide",2012,1550.73670459644,776.400519261594,3097.35023009738,7.34648539028524,0.352974276895279,"index"
"Coastwide",2013,3698.8785421041,1038.38979986924,13175.882959329,8.2157849559606,0.648153967628834,"index"
"Coastwide",2014,2032.21276579833,945.663843970368,4367.18475788857,7.61688051079483,0.390309901389616,"index"
"Coastwide",2015,990.851042601031,439.211069105413,2235.33935659513,6.8985642128416,0.415101566406389,"index"
"Coastwide",2016,6588.84690304613,3453.75236115553,12569.7788874637,8.79313363541033,0.329555583989316,"index"
"Coastwide",2017,2477.03324405608,1225.86286490697,5005.20398146217,7.81481685049582,0.358892613082881,"index"
"Coastwide",2018,3939.20077135104,2028.62422011268,7649.17551667146,8.27873313180425,0.338587861228151,"index"
"Coastwide",2019,3252.33262773476,1444.84463675726,7320.97227087898,8.08712774948832,0.413972235682534,"index"
"Coastwide",2021,988.489985872712,381.978179830122,2558.03211745024,6.89617851192983,0.485118621218643,"index"
"Coastwide",2022,908.329250011878,375.344274817948,2198.14735905408,6.81160692301936,0.45090790392261,"index"
"Coastwide",2023,1460.8170690579,737.607787153161,2893.11819427388,7.28675119450539,0.348648735532182,"index"
"Coastwide",2024,3029.4271766364,1599.39814099956,5738.05157282956,8.01612883001605,0.325896883549097,"index"
"WA",2003,563.440245089262,205.045109417629,1548.26862580587,6.33406128542439,0.515739724059317,"index"
"WA",2004,64.1915951053361,11.9140372591431,345.857646114478,4.16187228476312,0.859278533434654,"index"
"WA",2005,156.458817698653,52.9399842347402,462.398355222717,5.0527928296558,0.552884613798678,"index"
"WA",2006,180.697405727835,66.564962576343,490.521607359458,5.19682384070395,0.509522367201462,"index"
"WA",2007,288.37464201754,120.620459309764,689.434733001488,5.66426047511487,0.444707946710888,"index"
"WA",2008,92.0619520566529,28.400877159273,298.420466697247,4.52246174234257,0.600032307245921,"index"
"WA",2009,423.458868024513,185.198208101242,968.245939024285,6.04845638546622,0.42196170200254,"index"
"WA",2010,587.710370637037,242.016184539908,1427.1916583222,6.37623425960386,0.452676510598003,"index"
"WA",2011,678.486897599041,308.034791945508,1494.45608824281,6.51986516825433,0.402891296486566,"index"
"WA",2012,347.125239836763,152.414059726523,790.582787099411,5.84968563655006,0.419948911623783,"index"
"WA",2013,803.327678050038,188.069900171652,3431.35907304818,6.68876269802007,0.740803915951123,"index"
"WA",2014,466.53050759081,195.176114856938,1115.1503588053,6.14532341491399,0.444610777396308,"index"
"WA",2015,197.618217867527,74.4177958141549,524.779854144901,5.28633697674987,0.49829582592619,"index"
"WA",2016,1424.56076180376,636.119137677467,3190.24101598379,7.26161880785716,0.411350894724135,"index"
"WA",2017,578.021322059937,254.452964729413,1313.04679083308,6.35961075736903,0.418627464256203,"index"
"WA",2018,875.218608571008,394.310632204348,1942.65016012045,6.77447369352007,0.406810887613563,"index"
"WA",2019,605.940205908176,211.77246765582,1733.76424801722,6.40678131108258,0.536371528680841,"index"
"WA",2021,220.143394007406,74.938704447611,646.703386218533,5.39427912497165,0.549810419026947,"index"
"WA",2022,186.416599272933,66.7231086590214,520.826280173426,5.22798395018003,0.524209938911104,"index"
"WA",2023,274.436094068737,116.028309339396,649.110291759911,5.61471842535272,0.439234712873303,"index"
"WA",2024,611.698020799379,277.523135757981,1348.26405599634,6.41623873066928,0.403239261073811,"index"
"OR",2003,1398.25215088819,516.876201103884,3782.54807106221,7.24297827197206,0.50775161700237,"index"
"OR",2004,167.099583347227,31.6893882405572,881.123691718381,5.11858994216453,0.848285012509085,"index"
"OR",2005,399.738388908127,142.254064215239,1123.27742935408,5.99081030540886,0.527150330326036,"index"
"OR",2006,462.42193082558,183.251677595242,1166.88722807092,6.1364777444895,0.472262376444195,"index"
"OR",2007,723.713754153558,323.832154250512,1617.3860164172,6.58439594701628,0.410298665809261,"index"
"OR",2008,239.360501044011,79.1076979695854,724.246197659139,5.47797078804934,0.564888236355525,"index"
"OR",2009,1035.63342434334,477.306915475077,2247.05855885113,6.94276852269773,0.395215838740895,"index"
"OR",2010,1477.0938161794,635.973229763939,3430.65720329968,7.29783179857743,0.429944292005481,"index"
"OR",2011,1669.55841140928,804.066336690148,3466.66084863296,7.42031444613871,0.372778621344791,"index"
"OR",2012,872.392932686936,413.848898196775,1839.00315385217,6.7712399332939,0.380486076363337,"index"
"OR",2013,2087.55534835045,511.195194221015,8524.89886777459,7.64374897055337,0.717869042292897,"index"
"OR",2014,1126.92921270859,481.718975641514,2636.32847089895,7.0272517016932,0.433625720914963,"index"
"OR",2015,502.854874356095,199.499808211812,1267.4850513902,6.22030160830298,0.471686388428599,"index"
"OR",2016,3455.06133319599,1650.6947917797,7231.77226680149,8.14759548805462,0.376866069831403,"index"
"OR",2017,1430.50976990098,684.189903159284,2990.92136895472,7.26578614217742,0.376308255002944,"index"
"OR",2018,2161.0520251984,1044.50432749239,4471.15989153059,7.67835043081145,0.37095207485184,"index"
"OR",2019,1470.59519765148,530.182825789739,4079.06505106835,7.29342249418592,0.520520071210371,"index"
"OR",2021,566.439683134824,203.130618261749,1579.54481395038,6.3393706019571,0.523234813603732,"index"
"OR",2022,473.052299055431,180.477948544313,1239.92143886035,6.1592059512072,0.491640334836647,"index"
"OR",2023,683.583577222407,305.48259634305,1529.6665428476,6.527348926995,0.41095455025701,"index"
"OR",2024,1467.75535396525,695.740709173613,3096.42047775599,7.29148954267414,0.380880721243231,"index"
"CA",2003,463.937019554655,191.656337525881,1123.03908595869,6.13974880929519,0.451051629907832,"index"
"CA",2004,613.29418116786,158.190474858274,2377.70164727894,6.41884472484498,0.691362132929527,"index"
"CA",2005,567.716115207461,171.986054363308,1873.99838120254,6.34162149661095,0.609301044196452,"index"
"CA",2006,607.500674980911,225.857086441188,1634.02918153893,6.40935328629378,0.504831137577181,"index"
"CA",2007,642.074672316506,157.398176771008,2619.21639302169,6.46470460894572,0.717322291394594,"index"
"CA",2008,341.885125910745,93.8060909406657,1246.03251395412,5.83447479148934,0.65983100321474,"index"
"CA",2009,831.631152820592,298.317940843387,2318.36668081855,6.72338901658642,0.523085725725568,"index"
"CA",2010,527.347410798105,238.020993456502,1168.36455321445,6.2678595548748,0.405875150547552,"index"
"CA",2011,673.970293204084,280.941952726136,1616.83205983974,6.5131860345761,0.446456142772119,"index"
"CA",2012,331.218532072739,145.241712838504,755.332017534128,5.80277837527162,0.420609277587749,"index"
"CA",2013,807.995515703622,304.20731848951,2146.09154256647,6.69455650863394,0.498400520954704,"index"
"CA",2014,438.753045498934,204.206013788428,942.696208418414,6.0839367160641,0.390215007172516,"index"
"CA",2015,290.37795037741,95.1528593323393,886.146298251371,5.67118335161549,0.569244494459487,"index"
"CA",2016,1709.22480804638,873.458098124349,3344.69329520749,7.44379521808437,0.342524181591396,"index"
"CA",2017,468.502152095169,203.917379217726,1076.38822821201,6.1495406952542,0.424408710487641,"index"
"CA",2018,902.930137581629,415.285992516187,1963.18404195008,6.80564518340477,0.396271445829691,"index"
"CA",2019,1175.7972241751,476.061173001439,2904.03668852384,7.06970168516855,0.461312213702595,"index"
"CA",2021,201.906908730482,77.6788269022097,524.807098907661,5.30780674330929,0.487368149948553,"index"
"CA",2022,248.860351683511,65.5023989133284,945.484068789412,5.51689190252462,0.681035542720115,"index"
