Range_of_ages
0 60

Data_set_1
290 # data points
2 # readers
0 48 24 # minus group; plus group; reference age
   1    2
1 0 0
2 1 1
10 2 2
5 2 3
17 3 3
2 3 4
1 4 3
38 4 4
6 4 5
2 5 4
59 5 5
3 5 6
1 5 7
12 6 5
96 6 6
12 6 7
3 6 8
2 6 9
21 7 6
136 7 7
29 7 8
4 7 9
1 7 10
1 8 0
2 8 6
33 8 7
216 8 8
58 8 9
7 8 10
2 8 11
8 9 7
76 9 8
285 9 9
85 9 10
17 9 11
1 9 12
1 9 13
28 10 8
122 10 9
318 10 10
72 10 11
26 10 12
5 10 13
2 10 14
1 10 17
1 11 7
1 11 8
39 11 9
147 11 10
297 11 11
108 11 12
35 11 13
4 11 14
1 11 15
2 11 16
1 12 8
6 12 9
43 12 10
149 12 11
302 12 12
83 12 13
22 12 14
9 12 15
2 12 16
1 12 18
2 13 9
15 13 10
42 13 11
137 13 12
198 13 13
78 13 14
24 13 15
6 13 16
1 14 9
3 14 10
10 14 11
49 14 12
92 14 13
202 14 14
78 14 15
12 14 16
5 14 17
1 14 18
1 14 22
2 15 11
13 15 12
46 15 13
92 15 14
174 15 15
50 15 16
17 15 17
6 15 18
1 15 28
11 16 13
38 16 14
72 16 15
113 16 16
32 16 17
9 16 18
3 16 19
2 16 20
1 16 25
1 17 12
2 17 13
13 17 14
43 17 15
46 17 16
89 17 17
34 17 18
16 17 19
6 17 20
3 17 21
1 17 23
1 18 11
1 18 13
2 18 14
15 18 15
33 18 16
47 18 17
88 18 18
29 18 19
10 18 20
4 18 21
2 18 22
1 18 26
1 18 29
1 19 12
1 19 14
2 19 15
14 19 16
17 19 17
46 19 18
44 19 19
28 19 20
14 19 21
2 19 22
1 19 24
1 19 25
1 20 15
1 20 16
11 20 17
28 20 18
36 20 19
58 20 20
20 20 21
12 20 22
2 20 23
3 20 24
1 20 25
1 21 14
1 21 15
1 21 16
4 21 17
13 21 18
18 21 19
21 21 20
50 21 21
13 21 22
9 21 23
2 21 24
1 22 15
1 22 16
7 22 18
8 22 19
27 22 20
22 22 21
34 22 22
15 22 23
8 22 24
3 22 25
1 22 27
1 22 30
1 23 17
2 23 19
8 23 20
20 23 21
19 23 22
32 23 23
16 23 24
4 23 25
5 23 26
2 23 27
1 24 14
1 24 18
2 24 20
11 24 21
19 24 22
18 24 23
23 24 24
9 24 25
5 24 26
1 24 27
1 24 28
2 24 29
1 25 20
3 25 21
8 25 22
10 25 23
7 25 24
21 25 25
9 25 26
3 25 27
3 25 28
1 25 31
1 26 19
3 26 20
2 26 22
5 26 23
11 26 24
10 26 25
8 26 26
3 26 27
1 26 28
1 26 29
1 27 18
3 27 22
3 27 23
4 27 24
6 27 25
2 27 26
9 27 27
6 27 28
2 27 29
1 27 30
1 28 21
3 28 22
4 28 25
4 28 26
4 28 27
16 28 28
10 28 29
3 28 30
1 28 31
1 28 32
1 29 24
1 29 25
1 29 26
8 29 27
4 29 28
5 29 29
4 29 30
1 29 31
1 29 32
5 30 26
2 30 27
5 30 28
6 30 29
12 30 30
1 30 31
1 31 26
1 31 27
4 31 28
3 31 29
3 31 30
3 31 31
1 31 32
3 31 33
1 31 34
3 32 29
5 32 30
6 32 32
1 32 34
1 33 25
2 33 29
1 33 30
2 33 31
4 33 32
1 33 33
1 33 34
1 34 26
2 34 29
1 34 33
2 34 34
2 34 35
1 35 22
1 35 34
1 36 29
1 36 30
1 36 36
1 36 40
1 37 33
2 37 35
1 37 37
1 38 35
1 38 36
1 38 39
1 39 37
1 39 39
1 41 39
1 48 28
