"year","month","fleet","sex","partition","ageerr","Lbin_lo","Lbin_hi","input_n","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m20","m21","m22","m23","m24","m25","m26","m27","m28","m29","m30"
1972,"7",1,3,0,1,-1,-1,56.48,0,0,0,0,0,0,833.8379,2773.2817,4323.1501,11912.5117,18796.7276,16586.3966,11506.2239,7199.3535,7408.0314,3014.0287,6406.6882,3566.5601,1620.8472,2315.5042,1458.9946,827.8753,98.7477,0,0,0,711.6759,0,0,0,0,0,0,0,17.4517,0,788.1846,1332.0454,3683.1922,16563.6683,20109.0919,26148.8198,13754.0162,9388.215,7547.5189,12640.7739,10814.8339,5025.9874,4874.1454,3369.0648,1297.1419,810.4236,0,0,1423.3519,0,1423.3519,711.6759,0,0
1973,"7",1,3,0,1,-1,-1,7.06,0,0,0,0,0,0,0,17.4517,17.4517,139.6136,244.3239,244.3239,157.0654,34.9034,17.4517,34.9034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4517,69.8068,157.0654,69.8068,139.6136,157.0654,104.7102,34.9034,52.3551,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,"7",1,3,0,1,-1,-1,21.18,0,0,0,0,608.4073,886.4335,2711.6555,2433.6294,991.1437,660.7625,1582.0993,1304.0732,748.021,417.6398,87.2585,69.8068,69.8068,312.9295,295.4778,0,0,0,0,0,295.4778,295.4778,295.4778,0,0,0,0,0,0,0,590.9556,921.3369,1199.363,3598.0889,2398.726,713.1176,1669.3579,2747.7601,905.0863,539.8017,226.8722,69.8068,69.8068,903.8852,0,295.4778,295.4778,590.9556,590.9556,0,295.4778,1477.3891,1181.9113,590.9556,590.9556,2363.8225
1975,"7",1,3,0,1,-1,-1,21.18,0,0,0,711.6759,839.568,4407.7856,4437.2992,7146.273,3578.0554,1423.3519,4270.0557,2846.7038,2144.8657,4279.8935,4981.7316,2135.0278,2135.0278,1423.3519,0,2135.0278,0,2135.0278,711.6759,0,0,711.6759,0,711.6759,0,0,0,0,0,9.8379,1502.0547,4417.6235,8727.0305,7175.7866,2886.0552,9.8379,3558.3797,4270.0557,2135.0278,8540.1113,5693.4075,4270.0557,1423.3519,2846.7038,711.6759,2846.7038,2135.0278,711.6759,1423.3519,2846.7038,2135.0278,3558.3797,711.6759,4270.0557,711.6759,9973.3011
1976,"7",1,3,0,1,-1,-1,105.9,0,0,0,359.2951,2155.7705,7151.3306,13085.1624,37948.2584,25342.5259,11898.0684,7178.9875,11784.8478,12862.7331,17937.0973,10419.5574,8623.082,4670.8361,2508.1514,3534.8893,2515.0656,2874.3607,1077.8853,718.5902,1077.8853,718.5902,1796.4754,3233.6558,718.5902,359.2951,3887.2702,0,0,0,602.4671,1019.8237,4965.1554,18423.4613,42756.5248,21752.4975,16421.1128,12499.9908,14303.3805,14296.4663,21787.0686,21845.1301,17472.0605,6837.0079,6060.3562,6056.8891,4670.8361,6049.9549,6114.9506,5273.3032,4670.8361,5752.1884,11856.7378,8212.6596,5030.1312,4605.8603,30721.7455
1977,"7",1,3,0,1,-1,-1,98.84,0,0,0,0,0,2135.0278,6405.0835,15013.6761,24131.8281,25671.8125,25632.8435,17345.9592,17725.0274,33250.3301,33422.742,20004.1329,8023.6541,3396.1274,4555.0882,1546.7436,725.5374,2135.0278,761.0326,74.035,711.6759,2173.5676,1448.0302,0,77.0795,87.8964,0,0,0,0,0,0,10031.9445,21487.2408,38455.1153,32932.7414,23863.5808,31042.8975,31133.9669,46115.2957,49127.8974,40061.6529,23375.0023,17392.3251,7815.6825,9272.5938,7141.4378,4283.9171,2860.5652,7141.4378,2871.3821,4344.0907,5770.4871,7951.8271,7116.7594,20574.6522
1978,"7",1,3,0,1,-1,-1,77.66,0,0,0,711.6759,3558.3797,17791.8986,13273.6353,29277.343,37105.7784,44470.7454,17571.5859,21041.229,23799.1962,14304.2533,16555.9126,12534.0645,6840.657,6432.9784,3558.3797,2846.7038,2135.0278,711.6759,0,0,0,0,711.6759,0,0,711.6759,0,0,0,0,3558.3797,14233.5189,17543.691,26547.2707,35317.5874,33342.0306,20980.3873,20924.5975,21504.6974,15071.719,26369.7975,24543.819,20170.0821,9439.1532,6432.9784,3558.3797,9251.7873,4270.0557,2846.7038,4270.0557,4270.0557,2135.0278,2135.0278,4981.7316,2846.7038,16368.5467
1979,"7",1,3,0,1,-1,-1,169.44,0,0,0,0,2539.3363,13736.5123,26072.6254,32592.7501,53985.9201,62253.7156,81299.8712,54639.926,33178.6936,29616.3439,22504.0651,14641.4813,13847.1848,10765.8732,2908.5421,2238.6579,3256.8036,2889.9112,2135.0278,1362.9292,711.6759,0,11.8886,745.0804,711.6759,2858.5924,0,0,0,0,4704.0533,10677.7639,39402.4148,48705.4431,69768.7534,86827.2898,73746.8129,53405.1984,38679.9801,38949.1491,23078.9521,28184.7583,24764.8648,33601.2822,19281.7767,10423.0219,8860.9737,6434.3094,5939.8891,4303.4601,3603.6727,3931.9547,4993.6202,5182.205,5857.9506,27805.0938
1980,"7",1,3,0,1,-1,-1,465.96,0,0,157.0784,157.0784,1423.3519,21312.8607,50320.0698,78802.2228,72339.9507,92487.0698,123863.561,126342.5983,78775.0974,54405.6127,35434.2612,34314.7581,24756.7853,22604.635,12439.2535,10593.7923,4096.1203,964.1478,590.5797,1423.3519,44.3663,596.2355,443.0016,0,138.9051,1340.8698,0,0,0,0,7129.5357,27934.2513,67197.584,103770.8224,93448.7295,143243.6982,143683.6605,122089.9854,94315.5166,82288.856,86234.5777,60752.6751,46374.8612,52683.7998,32987.5298,20013.7769,14460.3947,7690.9238,9319.1204,11116.2335,5641.3585,2753.0023,2794.6547,2238.3558,1711.9946,34927.3027
1981,"7",1,3,0,1,-1,-1,437.72,0,0,0,530.6813,7700.2752,18185.935,48074.0595,88024.8592,78767.7126,58854.6318,69352.0602,74602.8129,77518.1459,59260.6577,36622.6049,24228.7738,15953.6192,13959.4175,15390.0409,11120.1401,4269.3276,4508.6043,4350.9831,2260.6756,1423.3519,1200.2004,277.051,0,63.6957,1540.9471,0,0,0,30.976,6276.9233,23126.8808,47849.1004,86281.2843,80085.3179,75251.7303,75388.6921,89362.8314,80111.6682,68810.6173,52084.3372,51072.7903,40575.722,34589.5816,27627.2736,24822.984,17996.322,6937.434,5504.23,7575.4239,2051.2684,1321.5409,1798.8846,2262.4193,15.488,13997.4827
1982,"7",1,3,0,1,-1,-1,670.7,0,0,0,3800.997,6925.4781,52499.2262,83785.041,190070.4281,132270.4017,113979.7521,75478.2532,80634.6647,77168.8608,74824.2767,40693.3394,36919.4005,25544.9229,19217.0198,17742.1804,19872.8319,17969.7828,11748.3577,8394.0122,2667.4994,1253.3548,2554.0623,1623.6257,711.6759,1423.3519,6424.6157,0,0,0,3558.3797,10093.3096,63825.4076,122931.0589,233646.5195,180709.164,107929.7539,70723.5079,97255.1037,92884.284,81183.9957,55433.1305,39205.506,34507.7665,26564.607,31542.052,50020.088,60074.4713,36346.0719,25445.3953,17079.596,10872.0401,11764.7116,10666.3941,5523.4104,7301.2222,80981.1344
1983,"7",1,3,0,1,-1,-1,472.164,0,0,0,0,3659.2049,29133.1553,78146.2296,145525.5806,185660.3831,108530.7708,43744.9887,20857.9016,24273.8136,26571.1681,16416.3067,15141.516,6713.7249,8401.4938,4517.8875,3058.2885,4270.0557,8286.4191,4662.4958,2376.7642,1000.2456,14.6667,738.8298,711.6759,0,987.1273,0,0,0,0,1480.7331,38214.1833,94747.4534,171555.9377,177686.4083,98326.365,35405.4113,26528.349,25769.8695,38015.5915,24747.465,17708.0597,14971.6836,9540.3569,9349.3115,16697.1806,9845.2264,13298.9375,16440.261,9628.5239,6537.7355,4140.01,4444.9647,2293.1688,1491.5428,28823.1813
1984,"7",1,3,0,1,-1,-1,642.46,0,0,70.121,1992.3772,10058.0166,46015.9601,118846.2265,149339.709,178261.0903,220932.1133,83282.8237,60977.4,39223.1091,33562.4548,24440.3267,18103.0108,9460.9536,6112.4502,4030.18,3190.9621,2258.7428,5997.5234,4010.2822,3115.0233,4172.7855,381.9683,1491.1647,38.8016,1186.9791,4961.7693,0,0,0,87.6512,12271.0584,42316.5066,114031.2042,142108.0239,210264.4936,227629.8142,105365.0693,67345.2844,45453.275,32828.731,37896.6489,33833.5664,24853.7346,17867.8537,14398.7327,17929.2604,12673.1966,21616.9241,18210.3057,13696.393,10846.4419,5627.1067,7399.5013,5520.9908,4220.3352,42341.7981
1985,"7",1,3,0,1,-1,-1,550.68,0,0,0,192.486,13052.2298,33269.4221,95058.8072,161616.9937,165904.8707,170027.7815,147024.6902,79692.1239,26978.8673,15140.6944,12255.7169,16525.7884,11309.7864,6817.8222,3249.2272,1787.8764,2140.4521,3543.1455,2384.3985,6639.7327,2276.5473,1659.4706,645.5244,118.6408,108.8848,1349.4571,0,0,0,630.7419,10304.4248,32321.9888,100659.711,169322.0701,193161.7154,183065.7701,126735.3722,75343.8124,35872.6129,17383.1214,12526.9777,16783.4885,13799.6182,13154.8469,10604.0572,7802.6873,9591.6048,10582.64,14599.0626,17669.8848,10159.7305,4994.1763,5885.8997,3104.9539,2947.0354,21444.0116
1986,"7",1,3,0,1,-1,-1,451.84,0,0,0,0,10099.6616,19358.5323,50552.1332,77714.524,131550.7717,124869.1819,137054.1327,181914.1757,88700.2661,39901.9623,22855.2216,16164.4469,13521.2432,10506.0586,5737.3395,6062.8878,3792.6035,2551.5338,1134.0869,3701.0026,1589.0569,454.8256,130.0646,711.6759,711.6759,4249.111,0,0,0,0,6171.9403,29416.3731,48873.8514,94139.0771,128400.6665,138714.1562,95506.7676,134352.547,85604.7794,36416.8576,23968.9823,24486.9442,20987.4232,23786.9322,11462.2118,8188.7754,6840.078,5146.428,10289.7499,9211.046,12263.7735,5842.9366,518.0084,3252.0984,2836.034,23864.352
1987,"7",1,3,0,1,-1,-1,656.04,0,711.6759,0,390.303,8316.0212,28660.3363,49705.5965,57513.7845,110101.0756,147559.884,105629.4042,120797.6711,91605.4736,44945.7598,20465.1961,18494.9459,10034.8771,5493.9164,9616.345,5307.3831,1376.6184,2153.537,1224.846,2130.7499,0,2989.7615,3233.6485,1423.3519,845.8865,2169.9312,0,0,0,978.663,7861.3803,35852.5294,44973.1014,58888.1556,106009.0703,152353.2032,94521.0168,122400.0971,93041.8841,61815.2831,34733.2046,22574.5958,22860.4987,16455.3697,21440.1972,8158.1037,5365.2867,5430.7258,4268.9897,6957.6917,14472.9714,14087.698,10973.1255,4359.4408,6344.8807,30159.1793
1988,"7",1,3,0,1,-1,-1,508.32,0,0,0,6374.1553,19326.1466,15370.7161,71960.1383,85820.4104,85732.6841,142758.4555,143597.8173,124096.5382,92922.7845,60373.9621,36166.6587,17141.1535,13436.7249,6114.7505,805.4009,4386.0224,2213.9455,2620.4328,1571.2154,711.6759,1384.6775,302.7885,1382.9602,2716.532,711.6759,1692.9118,0,0,0,2575.5963,20280.8319,25688.2294,67230.7504,72480.2025,91605.5546,134823.4402,143230.0387,110060.2484,94895.0869,64958.0293,45137.9894,24606.8658,12949.111,9736.8181,17625.3512,10223.473,6404.7662,4828.1956,3802.8994,4907.9295,6405.0835,5861.2574,7116.7594,4415.0443,3085.8717,14739.2689
1989,"7",1,3,0,1,-1,-1,633.65,0,0,806.426,11853.1688,30383.9676,39813.0609,43044.8577,90625.9929,78611.2135,69357.8658,96425.037,132251.2339,104453.567,85753.7981,66508.1468,31357.008,14548.692,6361.206,3356.8436,3490.5375,4949.8667,2332.9089,2231.4659,1941.5118,518.1599,0,2968.6192,687.2455,2182.7063,3952.6079,0,0,711.6759,9251.7873,23026.2935,54089.6987,47683.5096,95687.2471,89171.5163,78719.9676,123401.6714,120132.1486,81538.7634,70009.8508,74735.7827,36362.8091,21556.4018,6336.2995,12093.0379,6232.5141,7654.8668,7099.0983,3451.7685,694.8823,2830.419,3831.2097,6592.0184,6671.9011,2856.7225,20506.1229
1990,"7",1,3,0,1,-1,-1,621.3,0,0,14.5453,378.3068,6455.7684,51121.3172,79472.0635,47558.2646,98458.7481,90927.0118,64241.9148,108833.1457,96769.0028,85229.8344,52404.2536,39376.5763,21760.4049,8435.2842,3002.6614,2782.976,4636.7703,2160.6364,465.0483,711.6759,2052.068,1326.6725,1504.9643,801.8206,711.6759,2856.1798,0,0,0,87.2717,11960.0729,58454.5344,73735.6931,69787.2235,130477.2053,112573.3135,99732.753,109876.317,105683.5154,89833.483,73047.5588,64597.1298,37297.4057,16941.0115,11838.7008,9551.4297,10590.2881,7872.3324,6602.8138,4660.9762,5154.9352,2364.3621,5427.9295,6356.5428,5333.4197,15689.9199
1991,"7",1,3,0,1,-1,-1,556.786,0,0,0,0,3046.1651,9627.5201,78665.5803,73602.1624,72450.7507,132954.871,92562.7128,60967.9896,64054.3342,62108.4961,46129.6414,31865.9266,19252.0628,19039.0558,5055.8715,3870.8361,2135.0278,3858.9312,1423.3519,0,711.6759,0,0,729.1152,836.8458,3869.016,0,0,0,711.6759,2623.7311,13937.1488,101129.5315,75599.7783,61203.8748,96293.091,82480.5922,58947.8594,86158.2221,61096.6354,43406.5669,34165.2054,29266.1012,10671.7147,7574.0479,5310.2445,5843.5295,3960.7738,4067.4427,3258.3077,2990.7501,3507.8265,984.9505,2908.191,4245.897,11701.7466
1992,"7",1,3,0,1,-1,-1,701.26,0,0,0,0,2675.457,14711.4997,49149.2361,181659.6701,147832.5127,113673.9185,116965.2294,83390.4049,67398.6096,74026.2414,59285.4874,44710.4408,31712.7945,25721.9712,14934.5586,3898.819,2392.1126,1893.9872,2426.3784,999.6147,2129.2287,711.6759,1423.3519,1423.3519,1423.3519,8478.9324,0,0,0,852.9425,1924.6525,13802.154,64484.3164,181625.3204,154408.2441,100155.9534,104956.4988,82572.3172,55677.5452,66067.3651,65461.7196,52392.5593,34664.7125,28111.9537,14185.4758,10116.0825,5694.6166,4187.5627,5026.4998,6065.0106,394.597,1969.8027,1933.5006,3475.0211,1971.2945,33715.6469
1993,"7",1,3,0,1,-1,-1,610.502,0,0,269.9882,0,2846.7038,24719.3304,59073.2768,121426.877,210855.4337,145727.5477,115232.4467,98310.8344,63902.5066,30487.4738,24964.4378,20303.6544,21064.5822,22179.9934,10385.0918,7092.8057,1728.2089,80.9816,711.6759,671.2737,711.6759,321.5943,0,80.9816,0,1469.4236,0,0,0,711.6759,4536.5719,32240.5288,75389.5976,161363.175,181332.3276,167735.587,95263.5008,101448.9025,56693.5436,42983.91,41164.5981,47185.5227,32371.7779,29520.2071,18278.3903,8285.0862,8018.063,3071.7055,4941.9672,5704.7898,3020.7691,3763.0921,2338.2156,2379.1362,804.1973,14898.302
1994,"7",1,3,0,1,-1,-1,733.174,0,0,0,711.6759,2080.3996,18277.5872,89957.604,130610.4467,212373.5213,222914.4835,139347.9482,109611.4983,90535.7551,60915.1183,33902.0644,40049.1583,21258.3104,20767.4335,15425.538,15898.8244,8282.92,6472.5094,2234.0675,711.6759,0,711.6759,227.0411,711.6759,906.9938,3705.9933,0,0,0,0,2300.5647,31513.4254,92833.1136,167315.916,203243.219,210172.4365,144091.6807,100608.3566,72983.3138,39353.8417,42792.065,33900.3647,40434.2669,26156.612,22185.7135,20873.4765,13882.9018,7116.7594,3312.552,4478.2696,4837.185,2841.5947,1054.518,1433.9649,1230.5731,19408.5632
1995,"7",1,3,0,1,-1,-1,680.634,0,0,0,0,6943.4289,39859.7012,80517.7846,171545.006,181851.0269,156556.8559,147347.0006,90756.0773,67087.4981,53836.6188,32229.9065,16736.9916,23003.713,14804.9962,12439.3563,9726.3456,3987.7713,3087.4274,2184.1395,502.5785,277.6739,1666.6282,0,0,32.2207,857.0354,0,0,0,711.6759,7853.7277,38643.7738,89485.3861,181525.3884,184311.0587,180557.1571,132173.5559,104770.1123,60963.3115,46766.4454,35201.9387,20088.9218,23209.4849,20273.5513,14101.754,11372.9487,6984.1321,3863.7153,4289.212,3015.8344,2996.8704,2224.3049,0,711.6759,555.3478,8923.1981
1996,"7",1,3,0,1,-1,-1,654.762,0,0,0,2420.2424,19543.8568,58464.981,78925.3977,116008.3415,184713.5782,152789.9575,147773.9915,110248.196,60567.6715,43482.9154,25552.2253,14753.1641,10479.0741,7112.8626,6928.2558,3445.4169,2651.7607,2420.4454,70.2539,925.7563,236.2666,215.6409,663.007,0,0,1866.7632,0,0,0,1128.7421,22279.9492,58135.4054,96382.6951,113330.7266,174261.9734,145311.8978,131658.5536,96423.6519,49960.4792,34257.2272,17339.475,15221.3477,9852.9922,16123.7679,9965.5815,11476.0232,8771.8263,2563.4053,4210.7275,3286.7267,1423.3519,1894.325,52.9194,503.8046,0,5610.0114
1997,"7",1,3,0,1,-1,-1,913.454,0,0,0,1586.0936,6653.7338,21887.988,65783.5656,77367.2883,70406.146,90365.0323,86808.4878,69964.5924,56355.872,33133.479,23683.3777,17208.2368,9713.9462,10872.0072,9501.1426,10225.9236,7958.3897,5383.8967,3584.8715,1843.895,908.2334,57.6467,306.3876,836.3395,367.7509,615.7279,0,0,0,621.406,8332.7061,37073.8766,73953.052,99037.2867,85279.4491,96800.2415,91234.9486,69921.839,61523.5665,37141.7943,19628.7448,9796.5802,11063.7073,9366.0051,10711.47,11345.4445,7813.4364,4466.3544,5285.1759,2995.7413,2829.4297,580.8261,1003.9811,175.8834,856.6234,6113.2134
