"year","month","fleet","sex","partition","ageerr","Lbin_lo","Lbin_hi","input_n","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m20","m21","m22","m23","m24","m25","m26","m27","m28","m29","m30"
1972,"7",1,3,0,1,-1,-1,56.48,0,0,0,0,0,0,8,9,8,28,48,35,24,16,17,9,12,7,4,6,3,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,9,4,11,35,50,50,30,20,20,26,27,12,9,5,2,2,0,0,2,0,2,1,0,0
1973,"7",1,3,0,1,-1,-1,7.06,0,0,0,0,0,0,0,1,1,8,14,14,9,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,4,8,9,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,"7",1,3,0,1,-1,-1,21.18,0,0,0,0,3,3,12,12,9,6,11,11,11,8,5,4,4,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,5,5,15,10,9,16,30,20,15,13,4,4,4,0,1,1,2,2,0,1,5,4,2,2,8
1975,"7",1,3,0,1,-1,-1,21.18,0,0,0,1,14,20,23,13,7,2,6,4,4,7,7,3,3,2,0,3,0,3,1,0,0,1,0,1,0,0,0,0,0,1,10,21,31,16,8,1,5,6,3,12,8,6,2,4,1,4,3,1,2,4,3,5,1,6,1,15
1976,"7",1,3,0,1,-1,-1,105.9,0,0,0,1,6,15,32,94,63,30,19,31,34,46,29,24,13,6,10,7,8,3,2,3,2,5,9,2,1,10,0,0,0,2,3,13,49,110,55,39,33,39,38,60,60,47,22,20,19,13,17,19,15,13,17,33,25,14,12,86
1977,"7",1,3,0,1,-1,-1,98.84,0,0,0,0,0,3,9,22,34,42,48,40,36,62,61,47,26,13,14,7,2,3,3,3,1,5,3,0,4,4,0,0,0,0,0,0,15,32,63,53,43,52,61,90,92,79,44,34,14,20,11,7,5,11,5,9,12,16,10,56
1978,"7",1,3,0,1,-1,-1,77.66,0,0,0,1,5,25,20,45,56,65,27,34,40,23,25,18,10,10,5,4,3,1,0,0,0,0,1,0,0,1,0,0,0,0,5,20,26,40,56,54,37,35,36,26,44,37,32,15,10,5,13,6,4,6,6,3,3,7,4,23
1979,"7",1,3,0,1,-1,-1,169.44,0,0,0,0,6,30,48,65,118,147,166,114,76,69,45,36,33,22,11,6,6,7,3,2,1,0,1,2,1,5,0,0,0,0,7,19,81,94,137,171,143,110,68,71,53,60,51,67,42,19,16,12,11,7,7,6,8,9,11,47
1980,"7",1,3,0,1,-1,-1,465.96,0,0,1,1,2,36,92,160,155,212,274,263,175,121,87,82,69,49,30,30,13,4,1,2,1,2,2,0,2,3,0,0,0,0,11,44,123,193,192,295,289,255,216,182,181,121,102,99,65,41,31,16,20,24,10,6,6,6,7,77
1981,"7",1,3,0,1,-1,-1,437.72,0,0,0,1,18,43,120,218,208,157,183,208,210,149,110,68,55,50,33,37,13,10,9,10,2,2,3,0,3,8,0,0,0,2,16,54,135,252,248,207,210,259,244,201,168,158,125,115,88,98,62,37,26,23,12,6,9,9,1,97
1982,"7",1,3,0,1,-1,-1,670.7,0,0,0,6,17,140,167,347,264,208,138,149,135,143,78,72,50,41,33,38,36,21,14,5,2,6,3,1,2,10,0,0,0,5,17,131,235,439,336,207,132,173,179,151,118,78,65,54,60,89,110,66,45,31,19,22,16,8,14,147
1983,"7",1,3,0,1,-1,-1,472.164,0,0,0,0,12,60,147,239,307,172,77,40,49,44,34,27,15,19,9,7,6,13,14,4,3,1,2,1,0,4,0,0,0,0,7,75,161,281,284,163,57,49,44,63,48,31,27,15,16,31,22,27,29,21,15,10,12,9,3,72
1984,"7",1,3,0,1,-1,-1,642.46,0,0,1,5,25,97,229,321,367,436,180,133,80,68,52,45,23,18,10,6,12,14,10,9,12,1,5,1,3,16,0,0,0,1,26,81,241,309,409,440,219,137,89,65,76,82,48,40,36,37,31,46,48,38,27,19,23,19,16,287
1985,"7",1,3,0,1,-1,-1,550.68,0,0,0,1,36,94,280,415,437,455,396,234,85,55,43,44,39,24,22,11,7,11,11,18,12,8,5,2,1,7,0,0,0,2,27,96,295,443,488,476,352,223,105,60,52,55,51,48,36,27,33,35,48,56,34,21,15,12,13,89
1986,"7",1,3,0,1,-1,-1,451.84,0,0,0,0,22,44,109,166,309,289,326,423,214,94,59,44,31,28,17,13,11,7,6,7,4,2,1,1,1,10,0,0,0,0,15,62,102,214,287,303,242,299,203,94,56,56,49,49,30,19,18,13,25,23,28,18,4,9,9,65
1987,"7",1,3,0,1,-1,-1,656.04,0,1,0,5,24,70,119,129,224,310,223,238,188,107,49,37,19,15,24,13,3,7,5,6,0,5,5,2,4,5,0,0,0,6,22,88,108,148,254,328,209,255,204,134,67,49,48,38,43,22,10,18,9,15,31,27,23,8,14,65
1988,"7",1,3,0,1,-1,-1,508.32,0,0,0,11,35,27,129,151,142,248,260,224,164,96,61,31,21,11,4,8,4,5,3,1,2,1,2,4,1,3,0,0,0,4,31,46,114,126,157,230,241,185,157,111,75,41,24,16,28,16,10,9,6,8,9,9,10,7,5,27
1989,"7",1,3,0,1,-1,-1,633.65,0,0,2,17,49,72,74,171,156,132,212,275,214,182,142,70,33,15,7,8,11,5,4,3,1,0,6,1,4,7,0,0,1,13,45,97,86,182,174,165,250,264,169,147,163,78,44,16,24,12,16,17,6,3,6,7,12,12,6,37
1990,"7",1,3,0,1,-1,-1,621.3,0,0,1,9,15,90,144,93,194,175,133,218,198,156,108,77,40,19,7,6,7,4,1,1,4,2,3,2,1,6,0,0,0,6,24,105,135,140,235,210,179,210,198,168,138,120,62,33,20,17,19,17,12,10,9,4,11,12,10,32
1991,"7",1,3,0,1,-1,-1,556.786,0,0,0,0,5,19,139,156,156,260,203,141,150,138,95,79,38,37,14,9,3,7,2,0,1,0,0,2,2,7,0,0,0,1,4,24,195,169,148,208,181,134,180,135,95,66,59,26,17,9,10,8,9,6,6,8,2,6,7,21
1992,"7",1,3,0,1,-1,-1,701.26,0,0,0,0,7,32,105,366,294,232,241,168,129,147,124,94,58,50,30,11,6,5,8,2,5,1,2,2,2,16,0,0,0,2,6,30,127,342,295,199,204,153,105,124,125,104,65,57,30,19,13,10,9,12,2,5,6,7,5,77
1993,"7",1,3,0,1,-1,-1,610.502,0,0,1,0,4,41,108,209,365,251,192,183,114,55,49,47,42,40,20,17,4,1,1,1,1,1,0,1,0,4,0,0,0,1,7,55,126,274,309,296,173,171,106,77,79,84,55,56,38,17,15,6,8,9,7,7,4,4,4,39
1994,"7",1,3,0,1,-1,-1,733.174,0,0,0,1,5,32,150,221,363,386,241,195,167,114,66,73,46,41,28,28,17,10,5,1,0,1,1,1,2,7,0,0,0,0,5,51,155,277,362,376,261,184,131,79,81,61,74,46,40,37,25,10,5,8,9,4,3,4,2,31
1995,"7",1,3,0,1,-1,-1,680.634,0,0,0,0,13,75,144,307,308,288,260,176,131,101,60,31,40,36,23,17,7,7,4,2,1,3,0,0,1,4,0,0,0,1,14,69,158,315,326,309,250,189,113,94,67,39,46,42,29,23,17,9,8,7,5,4,0,1,2,17
1996,"7",1,3,0,1,-1,-1,654.762,0,0,0,4,41,107,145,206,326,287,285,223,129,97,67,38,25,19,18,10,11,7,1,4,2,1,1,0,0,4,0,0,0,2,41,100,169,208,312,272,256,189,102,73,44,39,27,33,22,29,24,9,10,9,2,4,2,1,0,12
1997,"7",1,3,0,1,-1,-1,913.454,0,0,0,8,25,84,210,283,242,362,322,285,254,146,94,78,49,41,41,44,37,24,19,9,3,1,3,4,1,5,0,0,0,5,43,168,246,321,268,349,336,269,259,147,90,50,51,46,44,56,34,26,26,18,13,8,3,5,4,24
1998,"7",1,3,0,1,-1,-1,712.476,0,0,0,0,6,23,143,256,299,224,291,267,198,152,133,58,42,31,22,13,18,10,11,5,5,3,0,3,0,0,0,0,0,1,7,42,164,243,304,212,240,228,177,158,110,54,51,30,35,22,20,21,18,14,14,6,3,2,1,12
1999,"7",1,3,0,1,-1,-1,921.734,0,0,0,0,13,33,132,295,449,441,275,330,211,140,128,88,44,33,19,20,11,10,13,6,11,3,1,1,1,3,0,0,0,2,7,39,131,294,483,510,287,288,194,153,140,102,45,41,29,28,22,27,23,24,18,14,7,5,5,14
2000,"7",1,3,0,1,-1,-1,840.492,0,0,0,3,14,58,103,249,336,346,454,218,167,133,104,85,52,40,10,25,22,16,11,6,9,4,3,1,1,1,0,0,0,0,23,71,126,256,420,337,485,200,158,119,95,79,61,51,27,30,25,13,16,13,15,16,7,4,3,13
2001,"7",1,3,0,1,-1,-1,810.96,0,0,0,1,5,13,83,116,156,176,470,416,274,185,133,88,68,63,48,28,23,19,9,13,11,7,6,4,5,11,0,0,0,1,1,22,91,135,191,199,425,380,234,139,103,82,80,80,55,37,43,29,21,21,9,24,13,22,15,37
2002,"7",1,3,0,1,-1,-1,524.326,0,0,4,16,9,25,51,115,92,109,167,208,181,128,76,66,48,32,33,21,15,11,12,3,3,4,0,4,2,5,0,0,8,9,12,26,82,146,131,135,205,219,215,162,87,79,54,47,39,31,23,15,14,10,11,8,4,4,4,7
2003,"7",1,3,0,1,-1,-1,362.152,0,0,0,1,13,10,22,56,71,40,100,127,178,139,70,79,46,36,21,14,15,8,4,6,3,2,4,4,2,9,0,0,0,1,12,15,27,51,75,60,111,141,144,129,88,57,34,33,27,21,20,18,7,4,8,6,6,1,4,24
2004,"7",1,3,0,1,-1,-1,492.45,0,0,0,2,29,78,62,62,70,106,93,125,163,197,167,79,87,41,34,30,25,14,14,9,6,4,5,4,1,7,0,0,0,4,19,77,70,66,105,96,105,99,133,147,138,88,78,55,39,33,32,18,18,15,13,15,12,3,5,28
2005,"7",1,3,0,1,-1,-1,345.246,0,0,0,1,1,18,40,48,58,77,78,107,93,114,95,93,43,50,28,35,17,12,6,2,8,3,3,4,5,4,0,0,0,0,6,25,63,68,64,86,93,70,74,83,76,97,49,37,23,19,27,10,6,11,10,4,4,2,3,14
2006,"7",1,3,0,1,-1,-1,345.486,0,0,0,0,14,36,64,69,52,52,72,92,72,79,83,73,69,44,31,18,19,17,17,7,4,4,5,2,2,8,0,0,0,0,15,41,84,86,80,62,82,67,76,63,70,80,61,40,27,23,14,10,8,10,7,3,5,8,3,17
2007,"7",1,3,0,1,-1,-1,319.922,0,0,0,0,4,27,57,45,88,62,57,66,81,71,58,68,75,62,42,20,23,12,11,11,6,1,2,1,4,3,0,0,0,0,3,33,57,58,71,71,51,64,66,50,51,63,55,50,39,32,19,14,16,13,9,6,3,5,2,11
2008,"7",1,3,0,1,-1,-1,303.358,0,0,0,2,8,13,29,63,73,84,74,62,66,69,64,45,38,37,42,29,19,13,9,5,2,3,3,0,0,1,0,0,0,2,8,17,44,81,68,70,67,43,43,47,50,33,39,47,40,40,25,19,13,19,4,8,2,2,2,5
2009,"7",1,3,0,1,-1,-1,286.316,0,0,0,1,1,5,14,64,79,65,92,70,58,71,51,49,44,39,33,29,19,12,4,5,1,6,3,0,3,4,0,0,0,1,4,3,19,55,82,57,65,58,40,54,39,37,50,48,34,32,14,23,7,2,7,6,4,3,1,15
2010,"7",1,3,0,1,-1,-1,332.718,0,0,0,2,4,2,6,18,54,100,117,117,100,68,80,79,51,51,34,49,37,22,17,7,7,4,0,2,0,7,0,0,0,4,4,2,6,20,52,100,79,107,52,65,55,43,47,42,32,44,28,14,22,18,9,14,2,3,4,8
2011,"7",1,3,0,1,-1,-1,345.472,0,0,0,15,36,9,9,21,26,59,123,125,107,111,73,64,63,46,46,55,34,28,17,14,8,2,5,0,1,2,0,0,0,2,3,3,13,23,19,45,86,72,67,64,48,51,36,31,30,36,35,28,23,12,4,5,2,2,1,4
2012,"7",1,3,0,1,-1,-1,476.596,0,0,1,11,8,18,21,30,39,35,119,218,150,155,106,95,87,67,37,37,48,33,27,15,8,9,3,2,0,2,0,0,0,11,4,12,15,48,41,55,106,179,89,144,60,62,55,56,45,46,39,61,51,22,20,14,6,8,2,10
2013,"7",1,3,0,1,-1,-1,373.404,0,0,3,1,36,11,39,35,41,43,39,101,102,111,88,73,49,53,39,32,18,21,21,15,8,2,7,0,0,1,0,0,1,1,16,10,28,30,54,38,38,74,83,83,74,43,36,34,48,29,26,28,23,29,10,13,5,8,1,6
2014,"7",1,3,0,1,-1,-1,546.286,0,0,2,25,20,64,25,44,39,68,91,82,134,161,137,114,70,67,52,45,34,27,20,17,12,9,6,4,1,3,0,0,0,12,18,38,19,40,43,87,72,92,112,122,99,108,63,46,45,38,37,36,34,35,21,20,10,10,3,14
2015,"7",1,3,0,1,-1,-1,591.456,0,0,1,9,33,42,102,70,110,73,117,128,131,140,145,110,84,83,33,39,20,22,23,19,11,9,5,2,1,4,0,0,0,7,22,27,72,91,108,73,106,88,88,98,124,108,87,66,46,44,65,30,33,33,39,21,22,15,6,27
2016,"7",1,3,0,1,-1,-1,624.578,0,0,0,1,1,24,31,105,107,180,130,165,106,110,124,115,116,71,56,45,42,33,28,25,8,19,12,9,4,8,0,0,0,0,4,24,21,122,89,163,123,129,111,68,106,128,105,96,42,45,38,40,32,30,31,41,44,26,13,35
2017,"7",1,3,0,1,-1,-1,767.968,0,0,0,12,17,52,70,153,280,193,265,160,149,118,70,95,122,109,57,67,28,31,23,22,17,11,15,13,3,14,0,0,2,7,15,42,68,132,211,160,171,101,81,77,51,75,94,90,74,72,46,44,41,33,25,24,30,34,14,56
2018,"7",1,3,0,1,-1,-1,662.774,0,0,1,13,8,12,54,74,128,213,232,189,133,120,80,59,68,81,45,51,34,23,26,21,18,15,10,7,7,7,0,0,3,3,7,16,46,51,119,164,137,129,63,61,58,39,67,92,70,68,41,36,23,32,26,18,18,26,21,60
