"year","month","fleet","sex","partition","input_n","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56"
1968,"7",1,0,2,21.18,0,0,0,0,1708.2914,14565.068,55209.607,58328.1238,61629.6151,66326.8538,47192.2655,35983.9137,42216.2651,39972.0674,15698.3422,4930.5401,2606.9563,986.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,"7",1,0,2,49.42,0,0,0,0,0,730.0102,730.0102,10348.413,39140.8836,48795.7555,67028.4276,82939.0452,165819.3662,201662.9084,141496.5595,54076.0771,23802.6605,2351.1825,1780.5072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,"7",1,0,2,21.18,0,0,0,0,109.777,0,890.9601,439.1081,3512.6676,3719.4777,11191.155,21863.3468,70489.3515,126360.8935,98509.6537,38498.8224,17753.6182,3701.2238,1181.8622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,"7",1,0,2,42.36,0,0,0,188.1918,32.9104,2825.3744,4653.2395,14416.9652,16547.3601,11093.954,9958.8742,18520.8372,60345.0321,64568.1145,36446.8892,31069.7938,11886.0879,1462.7382,188.1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,"7",1,0,2,14.12,0,0,0,0,0,0,0,0,649.7303,1955.5065,7178.6115,24828.6952,49594.2343,107590.7533,80163.1369,24752.9078,5223.1049,1305.7762,1305.7762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,"7",1,0,2,7.06,0,0,0,0,0,0,0,528.282,1056.5639,1056.5639,2641.4099,7395.9476,28527.2265,36979.738,16376.7411,7924.2296,3169.6918,2113.1279,528.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,"7",1,0,2,7.06,0,0,0,0,0,86.0737,200.8386,200.8386,172.1474,143.4562,114.7649,286.9123,143.4562,28.6912,28.6912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,"7",1,0,2,13.73,0,0,0,0,60.7593,99.6453,220.3537,271.06,301.108,290.6499,421.7053,251.5058,322.06,201.2046,70.5543,100.6023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"7",1,0,2,2.276,0,0,0,0,0,730.0102,730.0102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"7",1,0,2,34.666,0,0,0,327.9109,1924.1394,2058.679,4859.6161,3755.4877,4915.0374,3092.8896,3286.3532,2310.2174,1525.7645,1015.9661,88.2552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"7",1,0,2,29.422,0,0,0,170.4287,1664.728,1338.5362,4175.8363,6090.6241,4675.3055,4550.2977,4511.4646,2802.255,1176.9523,536.2764,514.8253,142.2977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,"7",1,0,2,30.116,0,0,0,0,0,133.203,603.4537,4138.2297,7590.5135,10487.3003,6390.7589,4267.091,3568.9065,555.9922,0,455.0413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,"7",1,0,2,10.416,0,0,0,6.7427,20.2281,33.7135,6.7427,6.7427,25.0828,37.6242,76.1086,62.707,37.6242,29.4737,12.5414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"7",1,0,2,165.856,0,0,0,7.2166,8.7887,198.1109,47.335,721.2308,2664.5817,2172.0649,4956.2018,9144.0113,7706.7757,5712.6466,6327.8282,4692.6746,3292.1792,725.507,228.3204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"7",1,0,2,55.334,0,0,0,0,0,275.6793,0,1609.6244,9548.7592,16971.0884,9773.33,11676.7169,10608.7656,5132.105,4043.3024,1507.7565,1103.1527,264.5665,3.2373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"7",1,0,2,89.762,0,0,0,0,0,19.4316,0,9.4186,142.3629,1706.5783,8037.6178,20444.8564,34387.8686,23053.8208,12506.7563,7697.7663,2255.7433,38.8631,19.4316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"7",1,0,2,91.78,0,0,0,0,0,0,0,0,591.0061,601.1753,6149.8635,17400.6813,28788.0376,25772.3816,16068.4542,10341.3127,3943.4061,985.1209,401.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"7",1,0,2,63.54,0,0,0,0,0,0,0,582.6402,1180.8537,2895.3704,9156.3221,26735.9238,43006.1313,37062.2699,24983.8337,19074.4101,8650.9562,1801.2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"7",1,0,2,105.9,0,0,0,0,0,0,0,111.1559,506.5604,2265.6151,5163.6638,19337.5905,38523.457,38197.0812,25239.5283,14147.151,6481.2384,901.7465,713.7558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
