"year","month","fleet","sex","partition","input_n","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56"
1968,"7",1,3,2,1,0,0,0,0,0,0,0,280846.1895,1123384.758,1965923.3264,1123384.758,1965923.3264,561692.379,561692.379,1123384.758,842538.5685,280846.1895,280846.1895,0,0,0,0,0,0,280846.1895,280846.1895,0,1123384.758,561692.379,1685077.1369,1404230.9474,1404230.9474,2808461.8949,1404230.9474,280846.1895,0,0,0
1972,"7",1,3,2,12,0,0,0,0,0,0,0,0,365300.8397,845011.4834,902765.3137,1924340.529,5808995.0517,4435194.37,2936072.3507,2068325.6292,1982517.9059,1085497.3918,0,0,0,0,0,280846.1895,0,17.6617,280846.1895,281546.3717,1438447.6755,4385731.3199,6990513.4427,11828358.5687,18255509.4066,15925814.899,2308596.1805,517474.6562,647.197,0
1973,"7",1,3,2,5,0,0,0,0,0,0,0,0,0,0,394299.2289,842538.5685,1350326.1601,2138906.9561,3598724.7815,3938089.9936,2922361.9495,788598.4577,114017.5919,0,0,0,0,0,0,0,0,0,0,956009.2696,1236890.7825,8944560.0814,17446435.9794,10349355.5814,1409991.9495,0,0,0
1974,"7",1,3,2,4,0,0,0,0,0,17.6617,377242.8285,188621.4143,0,754485.6571,951971.0092,935923.7608,736020.4228,1454312.9698,1634123.4313,915795.5609,727191.8083,177392.4757,0,0,0,0,0,0,0,0,188621.4143,754503.3188,1317949.5758,1326831.1754,1326164.4639,4096026.6853,6663485.3045,4645567.1222,1120464.2236,188621.4143,0,0
1975,"7",1,3,2,3,0,0,0,0,0,0,361991.8288,400183.2052,343689.9549,61256.1366,1744745.6448,1126560.0155,1967510.9552,284021.447,1146449.5181,847301.4548,1686664.7657,842538.5685,844126.1972,0,0,0,0,0,0,41366.634,946748.9679,443137.468,941986.0816,1766222.7762,853651.9699,863177.7425,609321.2421,879054.0302,847301.4548,1587.6288,0,0
1976,"7",1,3,2,19,0,0,0,0,276077.5831,276077.5831,1146300.4901,1695529.5762,1156562.3157,2285362.2511,3975407.2431,6060038.7188,7022559.8471,5239542.263,4552432.0955,6952708.453,9047943.4288,5772513.4671,1400309.1354,0,0,0,0,0,0,1137978.0632,989362.0071,1157207.947,2171598.4693,7211188.9228,11247876.5811,10669605.8661,21938754.2386,17062421.6498,4539760.6565,288507.0735,2313.1663,0
1977,"7",1,3,2,14,0,0,0,0,0,0,0,0,66.4474,280846.1895,8492.7913,1419426.0767,2268179.3936,2550468.3755,7060822.5662,4811326.2577,8174036.2983,1697814.319,635.771,0,0,0,0,0,0,0,66.4474,66.4474,564735.1254,1699030.3287,7911842.346,17456557.4095,28440552.369,21407628.3023,3105644.0364,3192.6342,702.2184,0
1978,"7",1,3,2,36,0,0,0,0,0,561692.379,1124399.6941,1965951.2883,7866777.0262,6747182.4207,8434795.7545,14333580.1957,15491790.613,14903377.197,11826730.5916,12396422.532,10410462.8708,3959419.0537,880699.682,0,0,0,0,0,0,562646.9075,3932801.1814,5618899.3585,8716277.8371,11818978.002,17442616.9833,27283172.0023,45568646.0613,20825182.5772,4533015.3312,289703.5364,434.9668,0
1979,"7",1,3,2,38,0,0,0,0,0,0,281048.2302,280846.1895,706421.52,2118963.2992,4222400.5743,6618967.0671,7479211.5581,10584317.2803,11695824.9353,9711245.3088,7168432.2193,2534941.6015,1545744.5666,0,0,0,280846.1895,0,0,280846.1895,706208.7818,2110984.4893,6232686.8792,10277093.0244,16878683.0463,25761408.4957,22680376.5699,11681128.2671,3102907.1479,561692.379,0,17.6617
1980,"7",1,3,2,67,0,0,0,0,561692.379,280846.1895,280846.1895,1687950.1602,6364320.2723,6181720.6931,9349027.4181,17198271.6164,22569110.0592,39683548.6898,34035462.3492,35736846.0754,14506686.5746,6186336.2386,1523551.2997,0,0,0,0,0,561692.379,564565.4023,4776300.5702,6080614.9913,12924749.1948,27391704.437,39127020.1865,66388230.714,77556611.9923,44457127.5139,10532030.3277,1406740.9754,0,280846.1895
1981,"7",1,3,2,63,0,0,0,0,0,0,455301.9679,1413570.7897,2137378.0236,5520923.3545,8198014.6711,8141759.5089,14206498.4984,14241449.2375,15281538.2405,12509500.9747,7399898.7319,4216858.7978,567717.4491,0,0,0,0,15.488,46.464,1125382.9789,1611775.4826,2333069.0279,9861622.1862,14747115.8073,20531784.799,34714611.2614,33104769.6324,19271991.0755,6027777.8676,842646.9846,16511.242,15.488
1982,"7",1,3,2,101,0,0,0,0,2494.514,283656.4553,2812191.3671,1138800.1361,3383818.5889,10699105.0295,14633670.4755,23248422.5903,20499588.7993,20512490.8844,26324545.5101,18180522.2737,13807588.6416,6289140.2542,2250195.2191,0,0,0,0,0,1685077.1369,1965923.3264,3950596.5814,14054333.6867,26456168.8713,29395300.4779,30007954.1042,38397407.9789,45856435.1549,25775772.8801,6144934.163,568121.1485,281459.2037,0
1983,"7",1,3,2,83,0,0,0,0,0,281083.6895,564667.1706,5361501.7351,8174701.188,16417808.4582,21142058.7886,23832171.1534,20289188.2415,14055056.0567,8728864.4244,9006311.4236,5110060.4166,3775141.3272,1324268.1674,0,0,0,0,0,606584.6689,1274547.9493,4954276.241,12365405.3972,25344272.3132,32612549.945,28913241.8681,25859785.02,20486705.4324,11807612.6392,3764888.8618,3028.3106,0,48
1984,"7",1,3,2,93,0,0,0,0,67.1312,283250.5306,914022.4414,1743579.7947,6093080.3473,9945970.6287,22198613.1452,26279752.9072,33980883.2241,32127140.3951,16208951.5242,13644365.8093,2889064.4304,1570392.8934,1490004.9571,0,0,0,0,280846.1895,282046.8652,2249191.3873,2918364.8732,9357679.3489,17720265.9142,38794080.2803,49376034.0455,41374073.02,31083614.0935,18870861.7977,5984261.8813,850538.9176,359111.063,280846.1895
1985,"7",1,3,2,83,0,0,0,0,0,1404230.9474,3266963.494,6604375.0994,12268945.0637,16770301.4339,17750210.803,16283880.7478,25449309.9927,22576945.5276,12712709.1009,5919522.7264,3787003.9635,922397.0514,873.0501,0,0,0,0,17.192,842979.6105,3091774.3526,6465189.6346,17015257.2264,25935243.3758,42391090.3052,40554721.3339,31554730.3075,14877553.3287,6364374.9609,1267560.6228,248.7412,0,0
1986,"7",1,3,2,71,0,1336.9398,0,0,283520.069,4010.8193,562240.6086,1124932.8863,2811441.7241,3373493.3762,11528261.5229,12946022.0762,26014784.1767,31063326.1638,31293740.7739,16915485.1454,7103300.1663,1691288.881,246320.903,0,0,0,0,0,282183.1293,283314.0507,562982.3199,1967970.3214,7035046.9297,20847196.946,37995851.9382,38431729.3331,30484178.1827,13663965.8483,2423415.1131,1648963.4764,0,0
1987,"7",1,3,2,93,0,0,0,0,0,280863.8512,10784.5646,1433426.1997,1134682.7371,2838581.1042,6255899.9687,7146229.073,7726444.0792,9340199.9405,9009548.5512,10481291.2923,3473260.6492,1329923.7446,1848.8522,0,0,0,0,0,281418.6549,10646.5505,853580.1537,313006.6362,2020650.8268,6251292.0013,8758201.5083,13578678.8477,10536408.586,6432063.3564,4578662.706,289933.9058,0,0
1988,"7",1,3,2,74,0,0,0,0,4713.5491,0,22953.5872,1976291.1803,1370780.6871,3956170.1347,7294587.1081,7062839.8856,10137362.4539,18942625.6492,25382007.3302,16647804.1248,8687739.9652,3659330.2762,281499.5966,0,0,0,0,1750.4103,8334.7926,579785.0907,575818.7725,3109324.1313,4523472.3107,7097359.3286,16940283.5355,27538253.0747,25311949.7719,8166601.4942,2492798.7888,1123910.994,280846.1895,0
1989,"7",1,3,2,92,0,0,0,0,2780.4557,289641.1626,290400.4892,1798662.8213,3108378.1356,3849194.5109,7992325.7686,10712300.8293,12167329.9563,17344663.2471,17820329.1253,14618103.4302,6923887.4905,2756418.6448,3033.9336,0,0,0,0,0,5014.1067,291369.7801,1354044.9057,4744312.4211,6357097.2144,12570389.1423,20365171.8105,36528296.4545,21687708.9353,9860810.9149,4847115.3513,430978.5256,842538.5685,0
