"year","month","fleet","obs","logse"
"2014",7,NA,0.0966081299033058,0.650574864878653
"2015",7,NA,0.0031010499572653,0.785885978708758
"2016",7,NA,0.131801266590064,0.638397933039434
"2017",7,NA,0.0702952521872751,0.641177848892042
"2018",7,NA,0.0492278280098532,0.643446299749613
"2019",7,NA,0.0977047743949696,0.594516166424507
"2021",7,NA,0.378413070506082,0.66623127112105
"2022",7,NA,0.0730554119132932,0.730164262510459
"2023",7,NA,0.385972021146129,0.645584136367306
"2024",7,NA,0.0900063920582845,0.507694237834986
