"year","sex_grouped","n_tows","n","n_stewart_hamel","input_n"
1980,"all",12,651,29,29
1980,"sexed",12,651,29,29
1983,"all",16,1291,38,38
1983,"sexed",16,1291,38,38
1986,"all",12,306,29,29
1986,"sexed",12,306,29,29
1989,"all",8,290,19,19
1989,"sexed",8,290,19,19
1992,"all",9,307,21,21
1992,"sexed",9,307,21,21
1995,"all",32,164,77,77
1995,"sexed",32,164,77,77
1998,"all",68,1005,165,165
1998,"sexed",68,1005,165,165
2001,"all",40,482,97,97
2001,"sexed",40,482,97,97
2004,"all",53,445,128,128
2004,"sexed",53,445,128,128
