"year","sex_grouped","n_tows","n","n_stewart_hamel","input_n"
1980,"all",19,955,46,46
1980,"sexed",19,955,46,46
1983,"all",50,2617,121,121
1983,"sexed",50,2617,121,121
1986,"all",38,2805,92,92
1986,"sexed",38,2805,92,92
1989,"all",40,1337,97,97
1989,"sexed",40,1337,97,97
1992,"all",44,1137,106,106
1992,"sexed",44,1137,106,106
1995,"all",44,700,106,106
1995,"sexed",44,700,106,106
1998,"all",94,2664,228,228
1998,"sexed",94,2664,228,228
2001,"all",43,651,104,104
2001,"sexed",43,651,104,104
2004,"all",53,1409,128,128
2004,"sexed",53,1409,128,128
