"year","month","fleet","sex","partition","input_n","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56"
2003,7,999,3,0,77,0,0,0,0,0,1,5,9,10,9,17,25,59,82,88,50,20,2,0,0,1,0,0,0,0,3,3,10,13,47,111,93,60,16,2,1,0,0
2004,7,999,3,0,51,0,0,0,1,0,0,0,3,5,4,15,20,33,56,54,36,8,1,3,0,0,1,1,0,0,0,2,7,14,46,88,78,39,7,2,0,0,0
2005,7,999,3,0,99,0,0,0,0,0,1,2,5,15,16,26,46,44,67,87,65,26,9,1,0,0,0,0,0,0,2,7,7,43,55,123,139,70,14,5,0,0,0
2006,7,999,3,0,72,0,0,0,0,0,0,1,2,2,8,8,9,24,42,41,51,38,14,0,0,0,0,0,0,0,0,0,2,7,11,33,46,23,4,0,0,0,0
2007,7,999,3,0,104,0,0,0,1,1,1,10,13,19,24,20,40,46,58,59,61,20,5,1,0,0,0,0,1,0,2,13,26,51,61,153,129,92,21,15,2,1,0
2008,7,999,3,0,75,20,9,1,8,1,0,2,9,11,11,21,24,30,40,52,36,9,7,0,12,13,5,3,2,0,1,3,15,35,30,71,74,47,14,3,0,0,0
2009,7,999,3,0,85,0,0,0,0,0,1,1,0,1,3,11,13,13,16,38,29,17,4,0,0,0,0,0,0,0,0,0,0,4,13,35,66,34,6,2,0,0,0
2010,7,999,3,0,104,0,0,0,0,0,0,1,1,1,13,19,33,57,62,88,92,63,10,0,0,0,0,0,0,0,0,1,9,13,41,119,248,164,45,7,2,0,0
2011,7,999,3,0,111,1,9,8,1,2,4,5,5,15,14,14,35,51,54,78,98,61,15,2,2,9,10,0,2,4,4,0,3,11,26,51,109,62,20,1,0,0,0
2012,7,999,3,0,97,5,0,0,0,2,7,10,10,13,17,11,18,42,72,75,69,41,2,1,4,0,0,1,6,8,15,28,9,21,40,101,132,103,17,3,2,1,0
2013,7,999,3,0,48,1,0,1,4,5,9,16,5,2,6,7,11,18,33,47,38,16,0,0,1,0,1,3,6,17,16,5,5,4,8,17,34,34,9,0,0,0,0
2014,7,999,3,0,119,0,0,0,0,1,1,4,8,12,20,27,40,77,107,142,110,72,18,5,0,0,0,0,0,0,5,7,8,20,84,145,205,159,61,13,3,2,1
2015,7,999,3,0,138,0,0,0,0,1,1,0,2,13,10,18,25,34,62,98,75,31,7,0,0,0,0,0,0,0,1,3,13,23,41,86,150,90,30,3,1,0,0
2016,7,999,3,0,189,0,0,0,1,7,15,41,61,72,104,106,107,90,130,131,72,31,3,0,0,0,1,0,5,9,32,65,108,173,207,270,276,113,24,2,0,0,0
2017,7,999,3,0,165,8,1,0,0,0,1,2,17,34,77,89,124,96,111,84,42,19,6,0,19,1,0,1,0,3,1,20,38,113,202,238,219,140,41,3,0,0,0
2018,7,999,3,0,143,0,0,2,2,4,3,11,9,11,21,34,46,60,54,28,34,13,5,0,1,1,1,2,3,7,10,13,16,47,80,107,127,80,23,1,0,0,0
2019,7,999,3,0,75,0,1,0,0,2,2,1,1,9,17,21,31,45,59,24,24,8,4,0,0,2,0,1,1,3,2,7,6,26,44,58,57,58,21,3,0,0,0
2021,7,999,3,0,77,1,0,0,0,0,1,0,4,8,6,8,15,25,49,50,27,8,2,0,0,0,0,0,0,1,0,4,3,12,33,48,53,27,9,1,0,0,0
2022,7,999,3,0,85,0,0,0,0,1,0,0,8,6,6,24,35,30,19,11,8,1,0,0,0,1,3,0,0,0,0,7,9,24,31,52,76,51,13,1,0,0,0
2023,7,999,3,0,150,1,0,0,0,1,0,0,4,5,12,27,44,53,44,52,37,10,2,0,0,0,1,0,0,0,1,9,17,50,85,118,79,52,10,0,0,0,0
2024,7,999,3,0,109,0,0,0,0,0,1,4,1,7,13,13,46,62,59,52,34,9,1,0,0,0,0,1,1,2,1,1,5,26,78,103,116,49,6,0,0,0,0
