"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"6","NatM_uniform_Fem_GP_1",0.1,1032.78,1.07906e-06,19.0181,7.43927,0.391168,1
"5","NatM_uniform_Fem_GP_1",0.11,1026.31,7.03205e-06,18.0655,8.44406,0.467414,1
"4","NatM_uniform_Fem_GP_1",0.12,1021.93,7.89695e-05,17.2759,9.3146,0.539168,1
"3","NatM_uniform_Fem_GP_1",0.13,1019.1,1.96723e-05,16.6465,10.0787,0.605455,1
"2","NatM_uniform_Fem_GP_1",0.14,1017.45,4.17486e-05,16.1718,10.7663,0.665745,1
"1","NatM_uniform_Fem_GP_1",0.15,1016.71,1.11893e-05,15.8474,11.4066,0.719778,1
"7","NatM_uniform_Fem_GP_1",0.16,1016.71,6.31118e-06,15.6659,12.021,0.767336,1
"8","NatM_uniform_Fem_GP_1",0.17,1017.29,2.7939e-05,15.6233,12.6296,0.808383,1
"9","NatM_uniform_Fem_GP_1",0.18,1018.37,4.45512e-05,15.7227,13.2532,0.842937,1
"10","NatM_uniform_Fem_GP_1",0.19,1019.88,3.2074e-07,15.9709,13.9107,0.871,1
"11","NatM_uniform_Fem_GP_1",0.2,1021.8,4.91434e-06,16.3684,14.6119,0.892691,1
