"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"6","NatM_uniform_Fem_GP_1",0.1,1121.58,1.08136e-05,17.6038,4.63949,0.263551,1
"5","NatM_uniform_Fem_GP_1",0.11,1115.5,6.13029e-05,16.6904,5.74511,0.344216,1
"4","NatM_uniform_Fem_GP_1",0.12,1111.17,0.000263531,16.0251,6.78541,0.423424,1
"3","NatM_uniform_Fem_GP_1",0.13,1108.24,0.000114471,15.534,7.71556,0.49669,1
"2","NatM_uniform_Fem_GP_1",0.14,1106.51,4.42667e-06,15.1849,8.53401,0.562006,1
"1","NatM_uniform_Fem_GP_1",0.15,1105.83,1.9001e-06,14.9665,9.26264,0.618893,1
"7","NatM_uniform_Fem_GP_1",0.16,1106.08,4.35778e-06,14.8757,9.93053,0.667568,1
"8","NatM_uniform_Fem_GP_1",0.17,1107.16,7.19007e-06,14.9201,10.569,0.708372,2
"9","NatM_uniform_Fem_GP_1",0.18,1109.04,6.52043e-06,15.1089,11.2045,0.741583,2
"10","NatM_uniform_Fem_GP_1",0.19,1111.63,4.45845e-06,15.4491,11.8618,0.767794,3
"11","NatM_uniform_Fem_GP_1",0.2,1114.9,2.99597e-06,15.9578,12.5671,0.787524,3
