"Label","Base","McAllister & Ianelli","- Fishery lengths","+ Unsexed commercial lengths","Raw commercial comps"
"TOTAL_like",1059.52,2320.39,770.996,1097.48,1003.6
"Survey_like",14.0967,21.2268,12.5085,14.3502,15.1638
"Length_comp_like",307.185,840.862,66.3851,343.074,283.553
"Age_comp_like",752.288,1464.95,706.081,753.903,719.886
"Recruitment_like",-15.1378,-8.45484,-14.9225,-14.9718,-16.1035
"Forecast_Recruitment_like",0.841744,1.10537,0.814763,0.847658,0.883672
"Parm_priors_like",0.244238,0.703886,0.128484,0.277844,0.219373
"Recr_Virgin_millions",36.6299,60.8686,32.2674,38.0024,37.8351
"SR_LN(R0)",10.5086,11.0165,10.3818,10.5454,10.541
"NatM_uniform_Fem_GP_1",0.156713,0.182285,0.147658,0.15899,0.154949
"NatM_uniform_Mal_GP_1",-0.14268,-0.141831,-0.126169,-0.144678,-0.137088
"L_at_Amax_Fem_GP_1",52.9485,52.4829,53.9191,52.961,52.8951
"L_at_Amax_Mal_GP_1",-0.140328,-0.137656,-0.169732,-0.140317,-0.14309
"VonBert_K_Fem_GP_1",0.143084,0.170688,0.121349,0.143138,0.144205
"VonBert_K_Mal_GP_1",0.350937,0.316581,0.485557,0.347322,0.347456
"SmryBio_unfished",134984,158684,130528,135955,141703
"SSB_Virgin",14.5951,15.5349,15.6063,14.5276,15.5877
"SSB_2025",9.13025,12.005,8.66444,9.19396,9.96603
"Bratio_2025",0.625568,0.772773,0.555189,0.632861,0.639352
"SPRratio_2024",0.637895,0.449657,0.737511,0.627925,0.619438
"LnQ_base_WCGBTS(6)",-1.1118,-1.46685,-0.884985,-1.12323,-1.16552
