" ","Base","Breakpoint M","No sex selectivity","Sex selectivity all fleets","Single M"
"TOTAL_like","1060","1116","1078","1032","1119"
"Survey_like","14.1","14.1","13.9","14.3","14.5"
"Length_comp_like","307","331","321","306","332"
"Age_comp_like","752","784","757","726","786"
"Parm_priors_like","0.244","1.3","0.229","0.269","0.0744"
"Recr_Virgin_millions","36.6","11.3","36.6","36.2","18.4"
"SR_LN(R0)","10.5","9.34","10.5","10.5","9.82"
"SR_BH_steep","0.718","0.718","0.718","0.718","0.718"
"NatM_uniform_Fem_GP_1","0.157","","0.156","0.158","0.112"
"NatM_uniform_Mal_GP_1","-0.143","","-0.135","-0.182","0"
"NatM_break_2_Fem_GP_1","","0.115","","",""
"L_at_Amax_Fem_GP_1","52.9","52.7","53","52.9","52.8"
"L_at_Amax_Mal_GP_1","-0.14","-0.127","-0.139","-0.129","-0.127"
"VonBert_K_Fem_GP_1","0.143","0.146","0.142","0.145","0.145"
"VonBert_K_Mal_GP_1","0.351","0.337","0.344","0.27","0.342"
"SSB_Virgin","14.6","17.5","14.9","14","17.4"
"Bratio_2023","0.648","0.395","0.659","0.618","0.373"
"SPRratio_2022","0.669","1.06","0.657","0.714","1.1"
