year,ComWA,ComOR,ComCA,ComDiscards,Foreign,ComTotal,ComModelTotal,ASHOP,RecWA,RecOR,RecCA
1889,0.1,0,0,0,0,0.1,0.1,NA,NA,NA,NA
1890,0.1,0,0,0,0,0.1,0.1,NA,NA,NA,NA
1891,0.2,0,0,0,0,0.3,0.2,NA,NA,NA,NA
1892,0.3,2.1,0,0.1,0,2.5,2.4,NA,NA,NA,NA
1893,0,2.1,0,0.1,0,2.2,2.1,NA,NA,NA,NA
1894,0,2.1,0,0.1,0,2.2,2.1,NA,NA,NA,NA
1895,0,0.5,0,0,0,0.6,0.6,NA,NA,NA,NA
1896,0,0.1,0,0,0,0.1,0.1,NA,NA,NA,NA
1897,0,0.1,0,0,0,0.1,0.1,NA,NA,NA,NA
1898,0,0.1,0,0,0,0.1,0.1,NA,NA,NA,NA
1899,0.1,0.1,0,0,0,0.2,0.2,NA,NA,NA,NA
1900,0,0.2,0,0,0,0.2,0.2,NA,NA,NA,NA
1901,0,0.2,0,0,0,0.2,0.2,NA,NA,NA,NA
1902,0,0.3,0,0,0,0.3,0.3,NA,NA,NA,NA
1903,0,0.3,0,0,0,0.3,0.3,NA,NA,NA,NA
1904,0.3,0.4,0,0,0,0.7,0.7,NA,NA,NA,NA
1905,0,0.4,0,0,0,0.5,0.4,NA,NA,NA,NA
1906,0,0.5,0,0,0,0.5,0.5,NA,NA,NA,NA
1907,0,0.5,0,0,0,0.6,0.5,NA,NA,NA,NA
1908,0.2,0.6,0,0,0,0.8,0.7,NA,NA,NA,NA
1909,0,0.6,0,0,0,0.7,0.6,NA,NA,NA,NA
1910,0,0.7,0,0,0,0.7,0.7,NA,NA,NA,NA
1911,0,0.7,0,0,0,0.8,0.7,NA,NA,NA,NA
1912,0,0.8,0,0,0,0.8,0.8,NA,NA,NA,NA
1913,0,0.8,0,0,0,0.9,0.8,NA,NA,NA,NA
1914,0,0.9,0,0,0,0.9,0.9,NA,NA,NA,NA
1915,0.1,0.9,0,0,0,1.1,1,NA,NA,NA,NA
